Method,Path,Service,Category,Security
GET,"/api/v1/auth/login",auth,authentication,public + admin
GET,"/api/v1/auth/logout",auth,authentication,public + admin
GET,"/api/v1/auth/register",auth,authentication,public + admin
GET,"/api/v1/auth/refresh",auth,authentication,public + admin
GET,"/api/v1/auth/verify",auth,authentication,public + admin
GET,"/api/v1/auth/forgot-password",auth,authentication,public + admin
GET,"/api/v1/auth/reset-password",auth,authentication,public + admin
GET,"/api/v1/auth/change-password",auth,authentication,public + admin
GET,"/api/v1/auth/profile",auth,authentication,public + admin
GET,"/api/v1/auth/sessions",auth,authentication,public + admin
GET,"/api/v1/auth/revoke",auth,authentication,public + admin
GET,"/api/v1/auth/validate",auth,authentication,public + admin
GET,"/api/v1/auth/2fa/enable",auth,authentication,public + admin
GET,"/api/v1/auth/2fa/disable",auth,authentication,public + admin
GET,"/api/v1/auth/2fa/verify",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/login",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/verify",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/logout",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/refresh",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/profile",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/update-profile",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/delete-account",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/link-provider",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/unlink-provider",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/providers",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/send-verification",auth,authentication,public + admin
POST,"/api/v1/auth/firebase/send-verification",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/verify-email",auth,authentication,public + admin
GET,"/api/v1/auth/firebase/custom-token",auth,authentication,public + admin
GET,"/api/v1/auth/otp/send",auth,authentication,public + admin
POST,"/api/v1/auth/otp/send",auth,authentication,public + admin
GET,"/api/v1/auth/otp/verify",auth,authentication,public + admin
GET,"/api/v1/auth/otp/resend",auth,authentication,public + admin
POST,"/api/v1/auth/otp/resend",auth,authentication,public + admin
GET,"/api/v1/auth/otp/validate",auth,authentication,public + admin
GET,"/api/v1/auth/otp/status",auth,authentication,public + admin
GET,"/api/v1/auth/otp/history",auth,authentication,public + admin
GET,"/api/v1/auth/otp/block",auth,authentication,public + admin
GET,"/api/v1/auth/otp/unblock",auth,authentication,public + admin
GET,"/api/v1/auth/otp/settings",auth,authentication,public + admin
GET,"/api/v1/auth/otp/rate-limit",auth,authentication,public + admin
GET,"/api/v1/auth/otp/analytics",auth,authentication,public + admin
GET,"/api/v1/auth/otp/cleanup",auth,authentication,public + admin
GET,"/api/v1/auth/otp-dev",auth,authentication,public + admin
POST,"/api/v1/auth/otp-dev",auth,authentication,public + admin
GET,"/api/v1/auth/otp-dev/:id",auth,authentication,public + admin
PUT,"/api/v1/auth/otp-dev/:id",auth,authentication,public + admin
DELETE,"/api/v1/auth/otp-dev/:id",auth,authentication,public + admin
GET,"/api/v1/auth/otp-dev/endpoint5",auth,authentication,public + admin
GET,"/api/v1/auth/otp-dev/endpoint6",auth,authentication,public + admin
GET,"/api/v1/auth/otp-dev/endpoint7",auth,authentication,public + admin
GET,"/api/v1/rbac/roles",rbac,authorization,admin + security
GET,"/api/v1/rbac/roles/:id",rbac,authorization,admin + security
PUT,"/api/v1/rbac/roles/:id",rbac,authorization,admin + security
GET,"/api/v1/rbac/permissions",rbac,authorization,admin + security
GET,"/api/v1/rbac/permissions/:id",rbac,authorization,admin + security
PUT,"/api/v1/rbac/permissions/:id",rbac,authorization,admin + security
GET,"/api/v1/rbac/users/:userId/roles",rbac,authorization,admin + security
GET,"/api/v1/rbac/users/:userId/permissions",rbac,authorization,admin + security
GET,"/api/v1/rbac/roles/:roleId/permissions",rbac,authorization,admin + security
GET,"/api/v1/rbac/roles/:roleId/users",rbac,authorization,admin + security
GET,"/api/v1/rbac/check-permission",rbac,authorization,admin + security
GET,"/api/v1/rbac/check-role",rbac,authorization,admin + security
GET,"/api/v1/rbac/hierarchy",rbac,authorization,admin + security
GET,"/api/v1/rbac/audit",rbac,authorization,admin + security
GET,"/api/v1/rbac/export",rbac,authorization,admin + security
GET,"/api/v1/rbac/import",rbac,authorization,admin + security
GET,"/api/v1/rbac/sync",rbac,authorization,admin + security
GET,"/api/v1/rbac/validate",rbac,authorization,admin + security
GET,"/api/v1/rbac/matrix",rbac,authorization,admin + security
GET,"/api/v1/rbac/effective-permissions",rbac,authorization,admin + security
GET,"/api/v1/rbac/role-templates",rbac,authorization,admin + security
GET,"/api/v1/rbac/bulk-assign",rbac,authorization,admin + security
GET,"/api/v1/rbac/history",rbac,authorization,admin + security
GET,"/api/v1/users",users,patient-management,user + admin
POST,"/api/v1/users",users,patient-management,user + admin
GET,"/api/v1/users/:id",users,patient-management,user + admin
POST,"/api/v1/users",users,patient-management,user + admin
PUT,"/api/v1/users/:id",users,patient-management,user + admin
DELETE,"/api/v1/users/:id",users,patient-management,user + admin
GET,"/api/v1/users/profile",users,patient-management,user + admin
GET,"/api/v1/users/profile/:id",users,patient-management,user + admin
PUT,"/api/v1/users/profile/:id",users,patient-management,user + admin
GET,"/api/v1/users/search",users,patient-management,user + admin
GET,"/api/v1/users/bulk",users,patient-management,user + admin
GET,"/api/v1/users/import",users,patient-management,user + admin
GET,"/api/v1/users/export",users,patient-management,user + admin
GET,"/api/v1/users/activate/:id",users,patient-management,user + admin
PUT,"/api/v1/users/activate/:id",users,patient-management,user + admin
GET,"/api/v1/users/deactivate/:id",users,patient-management,user + admin
PUT,"/api/v1/users/deactivate/:id",users,patient-management,user + admin
GET,"/api/v1/users/password/reset",users,patient-management,user + admin
GET,"/api/v1/users/password/change",users,patient-management,user + admin
GET,"/api/v1/users/preferences",users,patient-management,user + admin
GET,"/api/v1/users/preferences/:id",users,patient-management,user + admin
PUT,"/api/v1/users/preferences/:id",users,patient-management,user + admin
GET,"/api/v1/users/avatar",users,patient-management,user + admin
GET,"/api/v1/users/avatar/:id",users,patient-management,user + admin
PUT,"/api/v1/users/avatar/:id",users,patient-management,user + admin
GET,"/api/v1/users/emergency-contacts",users,patient-management,user + admin
GET,"/api/v1/users/emergency-contacts/:id",users,patient-management,user + admin
PUT,"/api/v1/users/emergency-contacts/:id",users,patient-management,user + admin
GET,"/api/v1/users/medical-info",users,patient-management,user + admin
GET,"/api/v1/users/medical-info/:id",users,patient-management,user + admin
PUT,"/api/v1/users/medical-info/:id",users,patient-management,user + admin
GET,"/api/v1/users/insurance",users,patient-management,user + admin
GET,"/api/v1/users/insurance/:id",users,patient-management,user + admin
PUT,"/api/v1/users/insurance/:id",users,patient-management,user + admin
GET,"/api/v1/users/documents",users,patient-management,user + admin
GET,"/api/v1/users/documents/:id",users,patient-management,user + admin
PUT,"/api/v1/users/documents/:id",users,patient-management,user + admin
GET,"/api/v1/users/history/:id",users,patient-management,user + admin
PUT,"/api/v1/users/history/:id",users,patient-management,user + admin
GET,"/api/v1/users/audit/:id",users,patient-management,user + admin
PUT,"/api/v1/users/audit/:id",users,patient-management,user + admin
GET,"/api/v1/users/merge",users,patient-management,user + admin
GET,"/api/v1/users/duplicate-check",users,patient-management,user + admin
GET,"/api/v1/users/statistics",users,patient-management,user + admin
GET,"/api/v1/users/recent",users,patient-management,user + admin
GET,"/api/v1/users/online",users,patient-management,user + admin
GET,"/api/v1/users/by-role/:role",users,patient-management,user + admin
GET,"/api/v1/users/by-department/:dept",users,patient-management,user + admin
GET,"/api/v1/users/birthdays",users,patient-management,user + admin
GET,"/api/v1/users/anniversaries",users,patient-management,user + admin
GET,"/api/v1/users/notifications/settings",users,patient-management,user + admin
