"Method","Path","File","Protected","Pattern"
"USE","/api/users","src\modules\userModules\index.js","False","express"
"GET","/api/v1","src\app.js, src\routes\department\departmentRoutes.js, src\routes\doctor\doctorRoutes.js, src\routes\health\publicRoutes.js, src\routes\infrastructure\swaggerRoutes.js, src\routes\swaggerRoutes.js, src\routes\user\lookupRoutes.js, src\routes\user\userRoutes.js","False","express"
"POST","/api/v1","src\routes\appointment\appointmentLegacyRoutes.js, src\routes\department\departmentRoutes.js, src\routes\doctor\adminDoctorRoutes.js, src\routes\doctor\doctorRoutes.js, src\routes\notification\adminNotificationRoutes.js","False","express"
"USE","/api/v1","src\app.js","False","express"
"DELETE","/api/v1/:id","src\routes\appointment\appointmentCrudRoutes.js, src\routes\notification\notificationRoutes.js, src\routes\record\adminRoutes.js","False","express"
"GET","/api/v1/:id","src\routes\appointment\appointmentListRoutes.js, src\routes\department\departmentStatsRoutes.js, src\routes\doctor\doctorStatsRoutes.js","False","express"
"PUT","/api/v1/:id","src\routes\appointment\appointmentCrudRoutes.js, src\routes\department\adminDepartmentRoutes.js, src\routes\department\departmentRoutes.js, src\routes\record\doctorRoutes.js","False","express"
"GET","/api/v1/:id/analytics","src\routes\department\departmentStatsRoutes.js, src\routes\doctor\adminDoctorRoutes.js","False","express"
"GET","/api/v1/:id/performance","src\routes\department\departmentStatsRoutes.js","False","express"
"GET","/api/v1/:id/stats","src\routes\department\departmentStatsRoutes.js","False","express"
"PUT","/api/v1/:id/status","src\routes\appointment\appointmentCrudRoutes.js","False","express"
"GET","/api/v1/:id/trends","src\routes\department\departmentStatsRoutes.js","False","express"
"GET","/api/v1/activity","src\routes\user\lookupRoutes.js","False","express"
"USE","/api/v1/admin","src\routes\auth\index.js, src\routes\department\index.js, src\routes\doctor\index.js, src\routes\pharmacy\index.js","False","express"
"GET","/api/v1/admin/admin/analytics","src\routes\record\adminRoutes.js","False","express"
"GET","/api/v1/admin/admin/hipaa-audit","src\routes\record\adminRoutes.js","False","express"
"USE","/api/v1/admin/analytics","src\app.js","False","express"
"GET","/api/v1/admin/export/excel","src\routes\record\adminRoutes.js","False","express"
"GET","/api/v1/admin/export/pdf","src\routes\record\adminRoutes.js","False","express"
"USE","/api/v1/admin/otp","src\routes\auth\index.js","False","express"
"GET","/api/v1/admin/pharmacyAdminRoutes","src\routes\pharmacy\adminRoutes.js","True","wrapAutoRBAC"
"DELETE","/api/v1/adminNotificationRoutes","src\routes\notification\index.js","True","wrapAutoRBAC"
"GET","/api/v1/adminNotificationRoutes","src\routes\notification\index.js","True","wrapAutoRBAC"
"POST","/api/v1/adminNotificationRoutes","src\routes\notification\index.js","True","wrapAutoRBAC"
"GET","/api/v1/advanced","src\routes\user\lookupRoutes.js","False","express"
"DELETE","/api/v1/ALL","src\routes\notification\index.js","True","wrapAutoRBAC"
"POST","/api/v1/ALL","src\routes\notification\index.js","True","wrapAutoRBAC"
"USE","/api/v1/api-docs","src\app.js, src\routes\infrastructure\index.js","False","express"
"USE","/api/v1/appointments","src\app.js","False","express"
"GET","/api/v1/app-version","src\routes\health\publicRoutes.js","False","express"
"GET","/api/v1/attendance","src\routes\staff\index.js","False","express"
"USE","/api/v1/attendance","src\routes\staff\index.js","False","express"
"USE","/api/v1/auth","src\app.js, src\app.js","False","express"
"ALL","/api/v1/auth/*","src\routes\otpDevRoutes.js","False","express"
"GET","/api/v1/auth/adminManagement","src\routes\auth\adminAuthRoutes.js","True","wrapAutoRBAC"
"POST","/api/v1/auth/adminManagement","src\routes\auth\adminAuthRoutes.js","True","wrapAutoRBAC"
"PUT","/api/v1/auth/adminManagement","src\routes\auth\adminAuthRoutes.js","True","wrapAutoRBAC"
"GET","/api/v1/auth/ALL","src\routes\auth\adminOtpRoutes.js, src\routes\investigation\adminRoutes.js, src\routes\notification\index.js","True","wrapAutoRBAC"
"DELETE","/api/v1/auth/clear-all-test-data","src\routes\otpDevRoutes.js","False","express"
"POST","/api/v1/auth/clear-phone-otps","src\routes\otpDevRoutes.js","False","express"
"POST","/api/v1/auth/generate-test-otp","src\routes\otpDevRoutes.js","False","express"
"POST","/api/v1/auth/get-phone-otps","src\routes\otpDevRoutes.js","False","express"
"GET","/api/v1/auth/health","src\routes\otpDevRoutes.js","False","express"
"GET","/api/v1/auth/phone","src\routes\otpDevRoutes.js","False","express"
"GET","/api/v1/auth/stats","src\routes\otpDevRoutes.js, src\routes\user\lookupRoutes.js","False","express"
"POST","/api/v1/auth/verify-test-otp","src\routes\otpDevRoutes.js","False","express"
"POST","/api/v1/book","src\routes\appointment\appointmentCrudRoutes.js","False","express"
