Method,Path,Protected,RBAC,Pattern
GET,"/api/v1/auth/",false,false,express
POST,"/",false,false,express
USE,"/",false,false,express
DELETE,"/:departmentId",false,false,express
DELETE,"/:doctorId",false,false,express
GET,"/:doctorId",false,false,express
DELETE,"/:id",false,false,express
GET,"/:id",false,false,express
PUT,"/:id",false,false,express
DELETE,"/:id/account",false,false,express
GET,"/:id/analytics",false,false,express
PUT,"/:id/availability",false,false,express
DELETE,"/:id/deactivate",false,false,express
PUT,"/:id/deactivate",false,false,express
GET,"/:id/export/report",false,false,express
GET,"/:id/financial",false,false,express
GET,"/:id/history",false,false,express
GET,"/:id/performance",false,false,express
PUT,"/:id/profile",false,false,express
PATCH,"/:id/read",false,false,express
GET,"/:id/staff-allocation",false,false,express
GET,"/:id/stats",false,false,express
PUT,"/:id/status",false,false,express
GET,"/:id/trends",false,false,express
DELETE,"/:identifier",false,false,express
GET,"/:identifier",false,false,express
PUT,"/:identifier",false,false,express
PUT,"/:identifier/status",false,false,express
GET,"/:phone",false,false,express
PATCH,"/:phone/mark-all-read",false,false,express
ALL,"/*",false,false,express
GET,"/activities/recent",false,false,express
GET,"/activity",false,false,express
GET,"/activity-audit",false,false,express
USE,"/admin",false,false,express
GET,"/admin/analytics",false,false,express
GET,"/admin/audit-log",true,false,wrapRoutes
GET,"/admin/hipaa-audit",false,false,express
USE,"/admin/otp",false,false,express
POST,"/admin/toggle-user-status",true,false,wrapRoutes
GET,"/adminDocumentationRoutes",true,true,wrapAutoRBAC
POST,"/adminDocumentationRoutes",true,true,wrapAutoRBAC
GET,"/adminManagement",true,true,wrapAutoRBAC
POST,"/adminManagement",true,true,wrapAutoRBAC
PUT,"/adminManagement",true,true,wrapAutoRBAC
DELETE,"/adminNotificationRoutes",true,true,wrapAutoRBAC
GET,"/adminNotificationRoutes",true,true,wrapAutoRBAC
POST,"/adminNotificationRoutes",true,true,wrapAutoRBAC
GET,"/adminSosRoutes",true,true,wrapAutoRBAC
POST,"/adminSosRoutes",true,true,wrapAutoRBAC
GET,"/advanced",false,false,express
DELETE,"/ALL",true,true,wrapAutoRBAC
GET,"/ALL",true,true,wrapAutoRBAC
POST,"/ALL",true,true,wrapAutoRBAC
GET,"/analytics",false,false,express
POST,"/announcement",false,false,express
USE,"/api/v1/auth/api-docs",false,false,express
USE,"/api/users",false,false,express
USE,"/api/v1",false,false,express
USE,"/api/v1/admin/analytics",false,false,express
USE,"/api/v1/appointments",false,false,express
USE,"/api/v1/auth",false,false,express
USE,"/api/v1/departments",false,false,express
USE,"/api/v1/devices",false,false,express
USE,"/api/v1/doctors",false,false,express
USE,"/api/v1/feedback",false,false,express
USE,"/api/v1/health",false,false,express
USE,"/api/v1/investigations",false,false,express
USE,"/api/v1/notifications",false,false,express
USE,"/api/v1/otp",false,false,express
USE,"/api/v1/pharmacy-orders",false,false,express
USE,"/api/v1/records",false,false,express
USE,"/api/v1/sos",false,false,express
USE,"/api/v1/staff",false,false,express
USE,"/api/v1/upload",false,false,express
USE,"/api/v1/users",false,false,express
GET,"/app-version",false,false,express
GET,"/attendance",false,false,express
USE,"/attendance",false,false,express
GET,"/available/now",false,false,express
POST,"/book",false,false,express
POST,"/bulk",false,false,express
POST,"/bulk-import",false,false,express
POST,"/bulk-operations",false,false,express
POST,"/bulk-search",false,false,express
GET,"/categories/list",false,false,express
USE,"/category",false,false,express
DELETE,"/cleanup",false,false,express
DELETE,"/clear-all-test-data",false,false,express
POST,"/clear-phone-otps",false,false,express
GET,"/comparison",false,false,express
GET,"/consultations/:phoneNumber",false,false,express
POST,"/create",false,false,express
